file_path,chip,temperature,device_type,device_index,vds,method,vth,gm_max,idx,num_points
./data/raw/chip3/115K/Nmos/2.txt,chip3,115K,nmos,2,0.1,traditional,0.6856374807987716,0.00013020000000000024,32,41
./data/raw/chip3/115K/Nmos/2.txt,chip3,115K,nmos,2,1.2,sqrt,0.5117297180774005,0.02069128100993879,26,41
./data/raw/chip3/115K/Nmos/3.txt,chip3,115K,nmos,3,0.1,traditional,0.6307815246923448,0.004171333333333339,28,41
./data/raw/chip3/115K/Nmos/3.txt,chip3,115K,nmos,3,1.2,sqrt,0.468247721798391,0.127499519722161,23,41
./data/raw/chip3/115K/Nmos/4.txt,chip3,115K,nmos,4,0.1,traditional,0.6538008048289737,0.0016566666666666648,29,41
./data/raw/chip3/115K/Nmos/4.txt,chip3,115K,nmos,4,1.2,sqrt,0.5495187690273418,0.08234824998687817,26,41
./data/raw/chip3/115K/Pmos/1.txt,chip3,115K,pmos,1,1.1,traditional,-0.6446787889976006,3.611333333333341e-05,11,41
./data/raw/chip3/115K/Pmos/1.txt,chip3,115K,pmos,1,0.0,sqrt,-0.5083208839738302,0.013452356557981313,15,41
./data/raw/chip3/115K/Pmos/2.txt,chip3,115K,pmos,2,1.1,traditional,-0.6603053435114506,7.860000000000015e-05,11,41
./data/raw/chip3/115K/Pmos/2.txt,chip3,115K,pmos,2,0.0,sqrt,-0.5367139748016994,0.020249932757373905,15,41
./data/raw/chip3/115K/Pmos/4.txt,chip3,115K,pmos,4,1.1,traditional,-0.6366666666666669,0.0007980000000000014,11,41
./data/raw/chip3/115K/Pmos/4.txt,chip3,115K,pmos,4,0.0,sqrt,-0.5416346007724002,0.05898453392236125,14,41
./data/raw/chip3/140K/Nmos/3.txt,chip3,140K,nmos,3,0.1,traditional,0.6204326250159057,0.003929500000000006,28,41
./data/raw/chip3/140K/Nmos/3.txt,chip3,140K,nmos,3,1.2,sqrt,0.4590769041307634,0.12394535374011456,23,41
./data/raw/chip3/140K/Nmos/4.txt,chip3,140K,nmos,4,0.1,traditional,0.6441531728665204,0.0015233333333333314,29,41
./data/raw/chip3/140K/Nmos/4.txt,chip3,140K,nmos,4,1.2,sqrt,0.5379555106723178,0.07858706785735364,26,41
./data/raw/chip3/140K/Pmos/1.txt,chip3,140K,pmos,1,1.1,traditional,-0.6255081057816458,3.485166666666665e-05,12,41
./data/raw/chip3/140K/Pmos/1.txt,chip3,140K,pmos,1,0.0,sqrt,-0.49361616934028174,0.013046379916047568,16,41
./data/raw/chip3/140K/Pmos/2.txt,chip3,140K,pmos,2,1.1,traditional,-0.641984021304927,7.510000000000009e-05,11,41
./data/raw/chip3/140K/Pmos/2.txt,chip3,140K,pmos,2,0.0,sqrt,-0.5189321881583666,0.019467441305679678,14,41
./data/raw/chip3/140K/Pmos/4.txt,chip3,140K,pmos,4,1.1,traditional,-0.6124104234527689,0.0007163333333333344,13,41
./data/raw/chip3/140K/Pmos/4.txt,chip3,140K,pmos,4,0.0,sqrt,-0.5167856517291806,0.055127445079910686,13,41
./data/raw/chip3/185K/Nmos/3.txt,chip3,185K,nmos,3,0.1,traditional,0.601864682520695,0.003483166666666669,26,40
./data/raw/chip3/185K/Nmos/3.txt,chip3,185K,nmos,3,1.2,sqrt,0.43692376757995705,0.11538701994779138,23,41
./data/raw/chip3/185K/Nmos/4.txt,chip3,185K,nmos,4,0.1,traditional,0.6200544127405438,0.001255833333333332,29,41
./data/raw/chip3/185K/Nmos/4.txt,chip3,185K,nmos,4,1.2,sqrt,0.5103744755407124,0.07056581877128065,27,41
./data/raw/chip3/185K/Pmos/1.txt,chip3,185K,pmos,1,1.1,traditional,-0.5908033728208576,3.2218333333333316e-05,12,41
./data/raw/chip3/185K/Pmos/1.txt,chip3,185K,pmos,1,0.0,sqrt,-0.4583038977120476,0.012595692398296929,17,41
./data/raw/chip3/185K/Pmos/2.txt,chip3,185K,pmos,2,1.1,traditional,-0.6044671532846713,6.849999999999993e-05,12,41
./data/raw/chip3/185K/Pmos/2.txt,chip3,185K,pmos,2,0.0,sqrt,-0.48106649483899505,0.018405207836640944,13,40
./data/raw/chip3/185K/Pmos/4.txt,chip3,185K,pmos,4,1.1,traditional,-0.5709858356940514,0.0005883333333333344,13,41
./data/raw/chip3/185K/Pmos/4.txt,chip3,185K,pmos,4,0.0,sqrt,-0.47222785794692596,0.04939732499069116,16,39
./data/raw/chip3/220K/Nmos/4.txt,chip3,220K,nmos,4,0.1,traditional,0.6032485262178097,0.0010743333333333343,28,41
./data/raw/chip3/220K/Nmos/4.txt,chip3,220K,nmos,4,1.2,sqrt,0.4865599533910548,0.06465703861134042,27,41
./data/raw/chip3/220K/Pmos/1.txt,chip3,220K,pmos,1,1.1,traditional,-0.5932924367137757,3.219500000000007e-05,13,40
./data/raw/chip3/220K/Pmos/1.txt,chip3,220K,pmos,1,0.0,sqrt,-0.37255450269143614,0.011398451375122909,8,41
./data/raw/chip3/220K/Pmos/2.txt,chip3,220K,pmos,2,1.1,traditional,-0.5807255520504737,6.340000000000013e-05,11,40
./data/raw/chip3/220K/Pmos/2.txt,chip3,220K,pmos,2,0.0,sqrt,-0.3718250863099763,0.015980286440764158,15,41
./data/raw/chip3/220K/Pmos/4.txt,chip3,220K,pmos,4,1.1,traditional,-0.5452072538860107,0.0005146666666666672,13,40
./data/raw/chip3/220K/Pmos/4.txt,chip3,220K,pmos,4,0.0,sqrt,-0.4244726257681834,0.044651897370048765,13,41
./data/raw/chip3/295K/Nmos/2.txt,chip3,295K,nmos,2,0.1,traditional,0.589883232134517,7.136666666666681e-05,28,38
./data/raw/chip3/295K/Nmos/2.txt,chip3,295K,nmos,2,1.2,sqrt,0.43012319483025524,0.01632435119042966,25,39
./data/raw/chip3/295K/Nmos/3.txt,chip3,295K,nmos,3,0.1,traditional,0.5419958419958417,0.0024851666666666633,26,41
./data/raw/chip3/295K/Nmos/3.txt,chip3,295K,nmos,3,1.2,sqrt,0.38082078608519854,0.09808403553480877,22,41
./data/raw/chip3/295K/Nmos/4.txt,chip3,295K,nmos,4,0.1,traditional,0.5464879356568366,0.0007460000000000006,27,41
./data/raw/chip3/295K/Nmos/4.txt,chip3,295K,nmos,4,1.2,sqrt,0.4377485012930095,0.05432825708841793,25,41
./data/raw/chip3/295K/Pmos/1.txt,chip3,295K,pmos,1,1.1,traditional,-0.5186251204625765,2.5941666666666683e-05,14,41
./data/raw/chip3/295K/Pmos/1.txt,chip3,295K,pmos,1,0.0,sqrt,-0.3783675466314667,0.010722748826119226,17,41
./data/raw/chip3/295K/Pmos/2.txt,chip3,295K,pmos,2,1.1,traditional,-0.5165454545454543,5.316666666666661e-05,15,41
./data/raw/chip3/295K/Pmos/2.txt,chip3,295K,pmos,2,0.0,sqrt,-0.3942006653350091,0.015682083385466103,17,41
./data/raw/chip3/85K/Nmos 85K/3.txt,chip3,85K,nmos,3,0.1,traditional,0.6357907109004742,0.004395833333333342,28,41
./data/raw/chip3/85K/Nmos 85K/3.txt,chip3,85K,nmos,3,1.2,sqrt,0.47328449375686177,0.13088317867376142,23,41
./data/raw/chip3/85K/Nmos 85K/4.txt,chip3,85K,nmos,4,0.1,traditional,0.6637950964855037,0.0017878333333333322,29,41
./data/raw/chip3/85K/Nmos 85K/4.txt,chip3,85K,nmos,4,1.2,sqrt,0.5601661051706314,0.08625469584086651,25,41
./data/raw/chip3/85K/Pmos/1.txt,chip3,85K,pmos,1,1.1,traditional,-0.6629335494327385,3.701999999999994e-05,10,41
./data/raw/chip3/85K/Pmos/1.txt,chip3,85K,pmos,1,0.0,sqrt,-0.5251650491065298,0.013762380595965192,14,41
./data/raw/chip3/85K/Pmos/2.txt,chip3,85K,pmos,2,1.1,traditional,-0.6810184804928128,8.116666666666656e-05,10,41
./data/raw/chip3/85K/Pmos/2.txt,chip3,85K,pmos,2,0.0,sqrt,-0.5570176725637324,0.021096978619887213,14,41
./data/raw/chip3/85K/Pmos/3.txt,chip3,85K,pmos,3,1.1,traditional,-0.6648125937031487,0.0008893333333333349,11,41
./data/raw/chip3/85K/Pmos/3.txt,chip3,85K,pmos,3,0.0,sqrt,-0.5691029169578735,0.06353810022741455,14,41
./data/raw/chip4/115K/Nmos/1.txt,chip4,115K,nmos,1,0.1,traditional,0.6412684165961049,9.841666666666663e-05,29,41
./data/raw/chip4/115K/Nmos/1.txt,chip4,115K,nmos,1,1.2,sqrt,0.4714677822466026,0.018125602104604108,25,41
./data/raw/chip4/115K/Nmos/2.txt,chip4,115K,nmos,2,0.1,traditional,0.6789843140653434,0.00019231666666666653,30,41
./data/raw/chip4/115K/Nmos/2.txt,chip4,115K,nmos,2,1.2,sqrt,0.5031351611484124,0.025463070049260086,25,41
./data/raw/chip4/115K/Nmos/3.txt,chip4,115K,nmos,3,0.1,traditional,0.6355491540552606,0.00410783333333334,28,41
./data/raw/chip4/115K/Nmos/3.txt,chip4,115K,nmos,3,1.2,sqrt,0.4779393221419308,0.12833103844208377,23,41
./data/raw/chip4/115K/Nmos/4.txt,chip4,115K,nmos,4,0.1,traditional,0.6529598949388826,0.0016498333333333321,29,41
./data/raw/chip4/115K/Nmos/4.txt,chip4,115K,nmos,4,1.2,sqrt,0.5490000901731368,0.08235016617009083,26,41
./data/raw/chip4/115K/Pmos/1.txt,chip4,115K,pmos,1,1.1,traditional,-0.6269317551322361,3.6046666666666695e-05,11,41
./data/raw/chip4/115K/Pmos/1.txt,chip4,115K,pmos,1,0.0,sqrt,-0.4958090745452436,0.013314687343345434,14,41
./data/raw/chip4/115K/Pmos/2.txt,chip4,115K,pmos,2,1.1,traditional,-0.6642300556586269,7.18666666666666e-05,10,41
./data/raw/chip4/115K/Pmos/2.txt,chip4,115K,pmos,2,0.0,sqrt,-0.5304321620505182,0.019369667038027602,14,41
./data/raw/chip4/115K/Pmos/3.txt,chip4,115K,pmos,3,1.1,traditional,-0.5987903225806452,0.001405333333333334,14,41
./data/raw/chip4/115K/Pmos/3.txt,chip4,115K,pmos,3,0.0,sqrt,-0.46389893554131895,0.08994937668140157,15,39
./data/raw/chip4/115K/Pmos/4.txt,chip4,115K,pmos,4,1.1,traditional,-0.6345788798631893,0.0007796666666666664,12,41
./data/raw/chip4/115K/Pmos/4.txt,chip4,115K,pmos,4,0.0,sqrt,-0.5365168959319218,0.05776227819679422,14,41
./data/raw/chip4/140K/Nmos/1.txt,chip4,140K,nmos,1,0.1,traditional,0.633081896551724,9.279999999999992e-05,30,41
./data/raw/chip4/140K/Nmos/1.txt,chip4,140K,nmos,1,1.2,sqrt,0.45938232582830224,0.01742539314675677,24,41
./data/raw/chip4/140K/Nmos/2.txt,chip4,140K,nmos,2,0.1,traditional,0.6712059471365638,0.00018159999999999986,30,41
./data/raw/chip4/140K/Nmos/2.txt,chip4,140K,nmos,2,1.2,sqrt,0.49530857737873624,0.02474800934960142,24,41
./data/raw/chip4/140K/Nmos/3.txt,chip4,140K,nmos,3,0.1,traditional,0.6262596865851559,0.0038713333333333325,27,41
./data/raw/chip4/140K/Nmos/3.txt,chip4,140K,nmos,3,1.2,sqrt,0.470147173460536,0.12472009606168827,23,41
./data/raw/chip4/140K/Nmos/4.txt,chip4,140K,nmos,4,0.1,traditional,0.6425639617876355,0.001517833333333331,29,41
./data/raw/chip4/140K/Nmos/4.txt,chip4,140K,nmos,4,1.2,sqrt,0.5363380220761771,0.07812092826089223,27,41
./data/raw/chip4/140K/Pmos/1.txt,chip4,140K,pmos,1,1.1,traditional,-0.6116077231886828,3.487333333333335e-05,12,41
./data/raw/chip4/140K/Pmos/1.txt,chip4,140K,pmos,1,0.0,sqrt,-0.4853969223672438,0.013094963079471292,15,41
./data/raw/chip4/140K/Pmos/2.txt,chip4,140K,pmos,2,1.1,traditional,-0.6496303408545365,6.94333333333333e-05,12,41
./data/raw/chip4/140K/Pmos/2.txt,chip4,140K,pmos,2,0.0,sqrt,-0.5179562981059846,0.018872605934594278,15,41
./data/raw/chip4/140K/Pmos/3.txt,chip4,140K,pmos,3,1.1,traditional,-0.5840176600441503,0.0013590000000000008,14,41
./data/raw/chip4/140K/Pmos/3.txt,chip4,140K,pmos,3,0.0,sqrt,-0.4489120706864303,0.08655252986746864,16,39
./data/raw/chip4/140K/Pmos/4.txt,chip4,140K,pmos,4,1.1,traditional,-0.6157999056158565,0.0007063333333333331,12,41
./data/raw/chip4/140K/Pmos/4.txt,chip4,140K,pmos,4,0.0,sqrt,-0.5181416435143245,0.05448368549261279,15,41
./data/raw/chip4/185K/Nmos/1.txt,chip4,185K,nmos,1,0.1,traditional,0.6164279902359647,8.19333333333335e-05,28,41
./data/raw/chip4/185K/Nmos/1.txt,chip4,185K,nmos,1,1.2,sqrt,0.447665764819882,0.016836939047530697,25,41
./data/raw/chip4/185K/Nmos/2.txt,chip4,185K,nmos,2,0.1,traditional,0.6528238369053838,0.00015941666666666643,30,41
./data/raw/chip4/185K/Nmos/2.txt,chip4,185K,nmos,2,1.2,sqrt,0.4793466227868667,0.023474104187368394,25,41
./data/raw/chip4/185K/Nmos/3.txt,chip4,185K,nmos,3,0.1,traditional,0.6089127906976746,0.0034400000000000003,27,41
./data/raw/chip4/185K/Nmos/3.txt,chip4,185K,nmos,3,1.2,sqrt,0.45031445594813135,0.1160520660454129,23,41
./data/raw/chip4/185K/Nmos/4.txt,chip4,185K,nmos,4,0.1,traditional,0.6196820349761525,0.0012579999999999987,29,41
./data/raw/chip4/185K/Nmos/4.txt,chip4,185K,nmos,4,1.2,sqrt,0.513227020477484,0.07091811946013177,26,41
./data/raw/chip4/185K/Pmos/1.txt,chip4,185K,pmos,1,1.1,traditional,-0.5754425119285828,3.2485000000000066e-05,13,41
./data/raw/chip4/185K/Pmos/1.txt,chip4,185K,pmos,1,0.0,sqrt,-0.44827691725410795,0.012256662924899311,17,41
./data/raw/chip4/185K/Pmos/2.txt,chip4,185K,pmos,2,1.1,traditional,-0.6147379239465571,6.486666666666671e-05,12,41
./data/raw/chip4/185K/Pmos/2.txt,chip4,185K,pmos,2,0.0,sqrt,-0.48413993006740896,0.01776708319610218,15,41
./data/raw/chip4/185K/Pmos/3.txt,chip4,185K,pmos,3,1.1,traditional,-0.5479370078740156,0.0012699999999999986,15,41
./data/raw/chip4/185K/Pmos/3.txt,chip4,185K,pmos,3,0.0,sqrt,-0.410014612693224,0.08020323649841726,15,39
./data/raw/chip4/185K/Pmos/4.txt,chip4,185K,pmos,4,1.1,traditional,-0.5711643835616442,0.0005840000000000012,13,41
./data/raw/chip4/185K/Pmos/4.txt,chip4,185K,pmos,4,0.0,sqrt,-0.47428114243860897,0.04923217958427911,15,41
./data/raw/chip4/220K/Nmos/1.txt,chip4,220K,nmos,1,0.1,traditional,0.6018471910112361,7.416666666666672e-05,28,41
./data/raw/chip4/220K/Nmos/1.txt,chip4,220K,nmos,1,1.2,sqrt,0.43254417836871195,0.01611474775844428,24,41
./data/raw/chip4/220K/Nmos/2.txt,chip4,220K,nmos,2,0.1,traditional,0.6378407526388249,0.00014526666666666644,29,41
./data/raw/chip4/220K/Nmos/2.txt,chip4,220K,nmos,2,1.2,sqrt,0.4659548561459475,0.022569279316647414,25,41
./data/raw/chip4/220K/Nmos/3.txt,chip4,220K,nmos,3,0.1,traditional,0.5929041916167668,0.0031173333333333365,27,41
./data/raw/chip4/220K/Nmos/3.txt,chip4,220K,nmos,3,1.2,sqrt,0.4350372130187137,0.11071489195014406,23,41
./data/raw/chip4/220K/Nmos/4.txt,chip4,220K,nmos,4,0.1,traditional,0.5992636321267676,0.0010728333333333354,28,41
./data/raw/chip4/220K/Nmos/4.txt,chip4,220K,nmos,4,1.2,sqrt,0.49237345110058073,0.06541367579679094,25,41
./data/raw/chip4/220K/Pmos/1.txt,chip4,220K,pmos,1,1.1,traditional,-0.5508117898896757,3.0364999999999998e-05,14,41
./data/raw/chip4/220K/Pmos/1.txt,chip4,220K,pmos,1,0.0,sqrt,-0.42606493672441725,0.011882800168491553,17,41
./data/raw/chip4/220K/Pmos/2.txt,chip4,220K,pmos,2,1.1,traditional,-0.5882291090204762,6.0233333333333406e-05,13,41
./data/raw/chip4/220K/Pmos/2.txt,chip4,220K,pmos,2,0.0,sqrt,-0.45548926229022146,0.01678814726409511,15,41
./data/raw/chip4/220K/Pmos/3.txt,chip4,220K,pmos,3,1.1,traditional,-0.5219646365422396,0.0011876666666666663,16,41
./data/raw/chip4/220K/Pmos/3.txt,chip4,220K,pmos,3,0.0,sqrt,-0.3848727615310234,0.076732258937319,17,39
./data/raw/chip4/220K/Pmos/4.txt,chip4,220K,pmos,4,1.1,traditional,-0.5415039577836411,0.0005053333333333331,15,41
./data/raw/chip4/220K/Pmos/4.txt,chip4,220K,pmos,4,0.0,sqrt,-0.44411464408027335,0.045474652864447684,13,41
./data/raw/chip4/295K/Nmos/1.txt,chip4,295K,nmos,1,0.1,traditional,0.561482219061166,5.8583333333333285e-05,29,41
