chip,device_type,device_index,temperature,method,vds,vth
chip3,nmos,3,140.0,traditional,0.1,0.6204326250159057
chip3,nmos,3,140.0,sqrt,1.2,0.4590769041307634
chip3,nmos,4,140.0,traditional,0.1,0.6441531728665204
chip3,nmos,4,140.0,sqrt,1.2,0.5379555106723178
chip3,pmos,4,140.0,traditional,1.1,-0.6124104234527689
chip3,pmos,4,140.0,sqrt,0.0,-0.5167856517291806
chip3,pmos,2,140.0,traditional,1.1,-0.641984021304927
chip3,pmos,2,140.0,sqrt,0.0,-0.5189321881583666
chip3,pmos,1,140.0,traditional,1.1,-0.6255081057816458
chip3,pmos,1,140.0,sqrt,0.0,-0.49361616934028174
chip3,nmos,3,185.0,traditional,0.1,0.601864682520695
chip3,nmos,3,185.0,sqrt,1.2,0.43692376757995705
chip3,nmos,4,185.0,traditional,0.1,0.6200544127405438
chip3,nmos,4,185.0,sqrt,1.2,0.5103744755407124
chip3,pmos,4,185.0,traditional,1.1,-0.5709858356940514
chip3,pmos,4,185.0,sqrt,0.0,-0.47222785794692596
chip3,pmos,2,185.0,traditional,1.1,-0.6044671532846713
chip3,pmos,2,185.0,sqrt,0.0,-0.48106649483899505
chip3,pmos,1,185.0,traditional,1.1,-0.5908033728208576
chip3,pmos,1,185.0,sqrt,0.0,-0.4583038977120476
chip3,pmos,3,85.0,traditional,1.1,-0.6648125937031487
chip3,pmos,3,85.0,sqrt,0.0,-0.5691029169578735
chip3,pmos,2,85.0,traditional,1.1,-0.6810184804928128
chip3,pmos,2,85.0,sqrt,0.0,-0.5570176725637324
chip3,pmos,1,85.0,traditional,1.1,-0.6629335494327385
chip3,pmos,1,85.0,sqrt,0.0,-0.5251650491065298
chip3,nmos,4,220.0,traditional,0.1,0.6032485262178097
chip3,nmos,4,220.0,sqrt,1.2,0.4865599533910548
chip3,pmos,4,220.0,traditional,1.1,-0.5452072538860107
chip3,pmos,4,220.0,sqrt,0.0,-0.4244726257681834
chip3,pmos,2,220.0,traditional,1.1,-0.5807255520504737
chip3,pmos,2,220.0,sqrt,0.0,-0.3718250863099763
chip3,pmos,1,220.0,traditional,1.1,-0.5932924367137757
chip3,pmos,1,220.0,sqrt,0.0,-0.37255450269143614
chip3,nmos,3,295.0,traditional,0.1,0.5419958419958417
chip3,nmos,3,295.0,sqrt,1.2,0.38082078608519854
chip3,nmos,4,295.0,traditional,0.1,0.5464879356568366
chip3,nmos,4,295.0,sqrt,1.2,0.4377485012930095
chip3,nmos,2,295.0,traditional,0.1,0.589883232134517
chip3,nmos,2,295.0,sqrt,1.2,0.43012319483025524
chip3,pmos,2,295.0,traditional,1.1,-0.5165454545454543
chip3,pmos,2,295.0,sqrt,0.0,-0.3942006653350091
chip3,pmos,1,295.0,traditional,1.1,-0.5186251204625765
chip3,pmos,1,295.0,sqrt,0.0,-0.3783675466314667
chip3,nmos,3,115.0,traditional,0.1,0.6307815246923448
chip3,nmos,3,115.0,sqrt,1.2,0.468247721798391
chip3,nmos,4,115.0,traditional,0.1,0.6538008048289737
chip3,nmos,4,115.0,sqrt,1.2,0.5495187690273418
chip3,nmos,2,115.0,traditional,0.1,0.6856374807987716
chip3,nmos,2,115.0,sqrt,1.2,0.5117297180774005
chip3,pmos,4,115.0,traditional,1.1,-0.6366666666666669
chip3,pmos,4,115.0,sqrt,0.0,-0.5416346007724002
chip3,pmos,2,115.0,traditional,1.1,-0.6603053435114506
chip3,pmos,2,115.0,sqrt,0.0,-0.5367139748016994
chip3,pmos,1,115.0,traditional,1.1,-0.6446787889976006
chip3,pmos,1,115.0,sqrt,0.0,-0.5083208839738302
chip4,nmos,3,140.0,traditional,0.1,0.6262596865851559
chip4,nmos,3,140.0,sqrt,1.2,0.470147173460536
chip4,nmos,4,140.0,traditional,0.1,0.6425639617876355
chip4,nmos,4,140.0,sqrt,1.2,0.5363380220761771
chip4,nmos,2,140.0,traditional,0.1,0.6712059471365638
chip4,nmos,2,140.0,sqrt,1.2,0.49530857737873624
chip4,nmos,1,140.0,traditional,0.1,0.633081896551724
chip4,nmos,1,140.0,sqrt,1.2,0.45938232582830224
chip4,pmos,3,140.0,traditional,1.1,-0.5840176600441503
chip4,pmos,3,140.0,sqrt,0.0,-0.4489120706864303
chip4,pmos,4,140.0,traditional,1.1,-0.6157999056158565
chip4,pmos,4,140.0,sqrt,0.0,-0.5181416435143245
chip4,pmos,2,140.0,traditional,1.1,-0.6496303408545365
chip4,pmos,2,140.0,sqrt,0.0,-0.5179562981059846
chip4,pmos,1,140.0,traditional,1.1,-0.6116077231886828
chip4,pmos,1,140.0,sqrt,0.0,-0.4853969223672438
chip4,nmos,3,185.0,traditional,0.1,0.6089127906976746
chip4,nmos,3,185.0,sqrt,1.2,0.45031445594813135
chip4,nmos,4,185.0,traditional,0.1,0.6196820349761525
chip4,nmos,4,185.0,sqrt,1.2,0.513227020477484
chip4,nmos,2,185.0,traditional,0.1,0.6528238369053838
chip4,nmos,2,185.0,sqrt,1.2,0.4793466227868667
chip4,nmos,1,185.0,traditional,0.1,0.6164279902359647
chip4,nmos,1,185.0,sqrt,1.2,0.447665764819882
chip4,pmos,3,185.0,traditional,1.1,-0.5479370078740156
chip4,pmos,3,185.0,sqrt,0.0,-0.410014612693224
chip4,pmos,4,185.0,traditional,1.1,-0.5711643835616442
chip4,pmos,4,185.0,sqrt,0.0,-0.47428114243860897
chip4,pmos,2,185.0,traditional,1.1,-0.6147379239465571
chip4,pmos,2,185.0,sqrt,0.0,-0.48413993006740896
chip4,pmos,1,185.0,traditional,1.1,-0.5754425119285828
chip4,pmos,1,185.0,sqrt,0.0,-0.44827691725410795
chip4,nmos,3,85.0,traditional,0.1,0.6418526266852629
chip4,nmos,3,85.0,sqrt,1.2,0.4870181531106995
chip4,nmos,4,85.0,traditional,0.1,0.6630945236309076
chip4,nmos,4,85.0,sqrt,1.2,0.5597237674014326
chip4,nmos,2,85.0,traditional,0.1,0.6853750826173167
chip4,nmos,2,85.0,sqrt,1.2,0.5107103733453237
chip4,nmos,1,85.0,traditional,0.1,0.6439530332681016
chip4,nmos,1,85.0,sqrt,1.2,0.4770371261638833
chip4,pmos,3,85.0,traditional,1.1,-0.6191320237551395
chip4,pmos,3,85.0,sqrt,0.0,-0.4822762893922251
chip4,pmos,4,85.0,traditional,1.1,-0.6641198786039456
chip4,pmos,4,85.0,sqrt,0.0,-0.5647806923056273
chip4,pmos,2,85.0,traditional,1.1,-0.6847406082289803
chip4,pmos,2,85.0,sqrt,0.0,-0.5470188765969208
chip4,pmos,1,85.0,traditional,1.1,-0.644859510086455
chip4,pmos,1,85.0,sqrt,0.0,-0.514062049335648
chip4,nmos,3,220.0,traditional,0.1,0.5929041916167668
chip4,nmos,3,220.0,sqrt,1.2,0.4350372130187137
chip4,nmos,4,220.0,traditional,0.1,0.5992636321267676
chip4,nmos,4,220.0,sqrt,1.2,0.49237345110058073
chip4,nmos,2,220.0,traditional,0.1,0.6378407526388249
chip4,nmos,2,220.0,sqrt,1.2,0.4659548561459475
chip4,nmos,1,220.0,traditional,0.1,0.6018471910112361
chip4,nmos,1,220.0,sqrt,1.2,0.43254417836871195
chip4,pmos,3,220.0,traditional,1.1,-0.5219646365422396
chip4,pmos,3,220.0,sqrt,0.0,-0.3848727615310234
chip4,pmos,4,220.0,traditional,1.1,-0.5415039577836411
chip4,pmos,4,220.0,sqrt,0.0,-0.44411464408027335
chip4,pmos,2,220.0,traditional,1.1,-0.5882291090204762
chip4,pmos,2,220.0,sqrt,0.0,-0.45548926229022146
chip4,pmos,1,220.0,traditional,1.1,-0.5508117898896757
chip4,pmos,1,220.0,sqrt,0.0,-0.42606493672441725
chip4,nmos,3,295.0,traditional,0.1,0.5515711694767244
chip4,nmos,3,295.0,sqrt,1.2,0.3920608506451955
chip4,nmos,4,295.0,traditional,0.1,0.5496888694127963
chip4,nmos,4,295.0,sqrt,1.2,0.44154923391556616
chip4,nmos,2,295.0,traditional,0.1,0.5886089552238801
chip4,nmos,2,295.0,sqrt,1.2,0.4231239207047109
chip4,nmos,1,295.0,traditional,0.1,0.561482219061166
chip4,nmos,1,295.0,sqrt,1.2,0.3905063345437027
chip4,pmos,3,295.0,traditional,1.1,-0.46695307336417685
chip4,pmos,3,295.0,sqrt,0.0,-0.3275093114044085
chip4,pmos,4,295.0,traditional,1.1,-0.48526612618963666
chip4,pmos,4,295.0,sqrt,0.0,-0.3834395851297731
chip4,pmos,2,295.0,traditional,1.1,-0.5293882978723405
chip4,pmos,2,295.0,sqrt,0.0,-0.4055089757861938
chip4,pmos,1,295.0,traditional,1.1,-0.4985873581847648
chip4,pmos,1,295.0,sqrt,0.0,-0.37559715718508857
chip4,nmos,3,115.0,traditional,0.1,0.6355491540552606
chip4,nmos,3,115.0,sqrt,1.2,0.4779393221419308
chip4,nmos,4,115.0,traditional,0.1,0.6529598949388826
chip4,nmos,4,115.0,sqrt,1.2,0.5490000901731368
chip4,nmos,2,115.0,traditional,0.1,0.6789843140653434
chip4,nmos,2,115.0,sqrt,1.2,0.5031351611484124
chip4,nmos,1,115.0,traditional,0.1,0.6412684165961049
chip4,nmos,1,115.0,sqrt,1.2,0.4714677822466026
chip4,pmos,3,115.0,traditional,1.1,-0.5987903225806452
chip4,pmos,3,115.0,sqrt,0.0,-0.46389893554131895
chip4,pmos,4,115.0,traditional,1.1,-0.6345788798631893
chip4,pmos,4,115.0,sqrt,0.0,-0.5365168959319218
chip4,pmos,2,115.0,traditional,1.1,-0.6642300556586269
chip4,pmos,2,115.0,sqrt,0.0,-0.5304321620505182
chip4,pmos,1,115.0,traditional,1.1,-0.6269317551322361
chip4,pmos,1,115.0,sqrt,0.0,-0.4958090745452436
chip5,nmos,3,140.0,traditional,0.1,0.6340155661991108
chip5,nmos,3,140.0,sqrt,1.2,0.471905231295733
chip5,nmos,4,140.0,traditional,0.1,0.6444193331841572
chip5,nmos,4,140.0,sqrt,1.2,0.5389558280455085
chip5,nmos,2,140.0,traditional,0.1,0.6583966327329677
chip5,nmos,2,140.0,sqrt,1.2,0.5034990999397745
chip5,nmos,1,140.0,traditional,0.1,0.6173001555209955
chip5,nmos,1,140.0,sqrt,1.2,0.45421317415288703
chip5,pmos,3,140.0,traditional,1.1,-0.5824644781969626
chip5,pmos,3,140.0,sqrt,0.0,-0.4447201304957975
chip5,pmos,4,140.0,traditional,1.1,-0.6151089588377727
chip5,pmos,4,140.0,sqrt,0.0,-0.5169081109121973
chip5,pmos,2,140.0,traditional,1.1,-0.6529860777724438
chip5,pmos,2,140.0,sqrt,0.0,-0.532816528901653
chip5,pmos,1,140.0,traditional,1.1,-0.6263623395149787
chip5,pmos,1,140.0,sqrt,0.0,-0.4844266074205979
chip5,nmos,3,185.0,traditional,0.1,0.6151374819102753
chip5,nmos,3,185.0,sqrt,1.2,0.4528847122628459
chip5,nmos,4,185.0,traditional,0.1,0.6206567366283003
chip5,nmos,4,185.0,sqrt,1.2,0.5135088387574156
chip5,nmos,2,185.0,traditional,0.1,0.6397149220489974
chip5,nmos,2,185.0,sqrt,1.2,0.4852274670791664
chip5,nmos,1,185.0,traditional,0.1,0.6008398299078668
chip5,nmos,1,185.0,sqrt,1.2,0.4369155092497923
chip5,pmos,3,185.0,traditional,1.1,-0.5496952180767207
chip5,pmos,3,185.0,sqrt,0.0,-0.41081825984340836
chip5,pmos,4,185.0,traditional,1.1,-0.5752219626168227
chip5,pmos,4,185.0,sqrt,0.0,-0.47574826532068226
chip5,pmos,2,185.0,traditional,1.1,-0.6149300155520996
chip5,pmos,2,185.0,sqrt,0.0,-0.4918325229721486
chip5,pmos,1,185.0,traditional,1.1,-0.586246800062693
chip5,pmos,1,185.0,sqrt,0.0,-0.45503582816912413
chip5,nmos,3,85.0,traditional,0.1,0.6506098541403472
chip5,nmos,3,85.0,sqrt,1.2,0.4883244417680249
chip5,nmos,4,85.0,traditional,0.1,0.6651898249976089
chip5,nmos,4,85.0,sqrt,1.2,0.5621012074714629
chip5,nmos,2,85.0,traditional,0.1,0.673981351161154
chip5,nmos,2,85.0,sqrt,1.2,0.5242765405567915
chip5,nmos,1,85.0,traditional,0.1,0.6338583755649914
chip5,nmos,1,85.0,sqrt,1.2,0.4713522550974261
chip5,pmos,3,85.0,traditional,1.1,-0.6213574153017728
chip5,pmos,3,85.0,sqrt,0.0,-0.4810349485787113
chip5,pmos,4,85.0,traditional,1.1,-0.665572755417957
chip5,pmos,4,85.0,sqrt,0.0,-0.5661137599712582
chip5,pmos,2,85.0,traditional,1.1,-0.6872311827956991
chip5,pmos,2,85.0,sqrt,0.0,-0.5694396292718419
chip5,pmos,1,85.0,traditional,1.1,-0.6649741943878219
chip5,pmos,1,85.0,sqrt,0.0,-0.517530184415326
chip5,nmos,3,220.0,traditional,0.1,0.5998171216538565
chip5,nmos,3,220.0,sqrt,1.2,0.4376611720804929
chip5,nmos,4,220.0,traditional,0.1,0.6004255319148941
chip5,nmos,4,220.0,sqrt,1.2,0.4935317270955308
chip5,nmos,2,220.0,traditional,0.1,0.629686855200874
chip5,nmos,2,220.0,sqrt,1.2,0.46839783379904565
chip5,nmos,1,220.0,traditional,0.1,0.5822544508901784
chip5,nmos,1,220.0,sqrt,1.2,0.4207965934436757
chip5,pmos,3,220.0,traditional,1.1,-0.5226965342349956
chip5,pmos,3,220.0,sqrt,0.0,-0.38429847376554177
chip5,pmos,4,220.0,traditional,1.1,-0.5441303759805245
chip5,pmos,4,220.0,sqrt,0.0,-0.4448509760550556
chip5,pmos,2,220.0,traditional,1.1,-0.5867967134313342
chip5,pmos,2,220.0,sqrt,0.0,-0.4665272138104918
chip5,pmos,1,220.0,traditional,1.1,-0.5642977137453413
chip5,pmos,1,220.0,sqrt,0.0,-0.42975404026271974
chip5,nmos,3,295.0,traditional,0.1,0.5602814123216514
chip5,nmos,3,295.0,sqrt,1.2,0.39801859263982214
chip5,nmos,4,295.0,traditional,0.1,0.5556420735642076
chip5,nmos,4,295.0,sqrt,1.2,0.4452050101337558
chip5,nmos,2,295.0,traditional,0.1,0.5871746705044691
chip5,nmos,2,295.0,sqrt,1.2,0.4265705250272702
chip5,nmos,1,295.0,traditional,0.1,0.5471982004498875
chip5,nmos,1,295.0,sqrt,1.2,0.3804947292054461
chip5,pmos,3,295.0,traditional,1.1,-0.4667133094695733
chip5,pmos,3,295.0,sqrt,0.0,-0.3265314051534328
chip5,pmos,4,295.0,traditional,1.1,-0.48346204475647203
chip5,pmos,4,295.0,sqrt,0.0,-0.38216762072027655
chip5,pmos,2,295.0,traditional,1.1,-0.5295213454075033
chip5,pmos,2,295.0,sqrt,0.0,-0.38269998344909417
chip5,pmos,1,295.0,traditional,1.1,-0.5079916807487329
chip5,pmos,1,295.0,sqrt,0.0,-0.3723279959334684
chip5,nmos,3,115.0,traditional,0.1,0.6430653347297192
chip5,nmos,3,115.0,sqrt,1.2,0.48135966312547335
chip5,nmos,4,115.0,traditional,0.1,0.6540266997826761
chip5,nmos,4,115.0,sqrt,1.2,0.5495218244094886
chip5,nmos,2,115.0,traditional,0.1,0.6666611157368858
chip5,nmos,2,115.0,sqrt,1.2,0.5133064395638551
chip5,nmos,1,115.0,traditional,0.1,0.6249232119350596
chip5,nmos,1,115.0,sqrt,1.2,0.4631492794561651
chip5,pmos,3,115.0,traditional,1.1,-0.6011230697239122
chip5,pmos,3,115.0,sqrt,0.0,-0.4624375469407451
chip5,pmos,4,115.0,traditional,1.1,-0.6365783760312635
chip5,pmos,4,115.0,sqrt,0.0,-0.5396704132788209
chip5,pmos,2,115.0,traditional,1.1,-0.6677257989810098
chip5,pmos,2,115.0,sqrt,0.0,-0.5486502590591996
chip5,pmos,1,115.0,traditional,1.1,-0.6442953111524673
chip5,pmos,1,115.0,sqrt,0.0,-0.5005150631803289
